age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,">50K,<=50K"
34,Local-gov,284843,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,594,0,60,<=50K
40,Private,190290,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,<=50K
36,Local-gov,177858,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,<=50K
22,Private,184756,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,<=50K
47,Private,149700,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,40,>50K
18,Private,446771,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,<=50K
31,Federal-gov,108464,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,<=50K
18,?,423460,11th,7,Never-married,?,Own-child,White,Male,0,0,36,<=50K
25,Private,110138,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,<=50K
53,Federal-gov,167410,Bachelors,13,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,<=50K
19,Private,131615,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,<=50K
44,Local-gov,150171,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,<=50K
31,Local-gov,331126,Bachelors,13,Never-married,Protective-serv,Own-child,Black,Male,0,0,48,<=50K
20,Private,191910,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,<=50K
36,Self-emp-inc,116133,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,57,<=50K
28,Private,139903,Bachelors,13,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,<=50K
35,Private,107160,12th,8,Separated,Other-service,Not-in-family,White,Female,0,0,30,<=50K
44,Private,121874,Some-college,10,Divorced,Sales,Unmarried,White,Male,0,0,55,>50K
38,Private,22494,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,7443,0,40,<=50K
30,Private,124020,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,40,<=50K
37,Local-gov,251396,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,>50K
53,Local-gov,20676,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,48,<=50K
64,State-gov,194894,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,4787,0,40,>50K
37,Private,122493,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,<=50K
37,Private,67433,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,>50K
18,Self-emp-not-inc,212207,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,11,<=50K
35,Private,261382,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,<=50K
34,Self-emp-not-inc,349148,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
41,Private,328447,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,<=50K
77,?,152900,5th-6th,3,Married-civ-spouse,?,Husband,White,Male,0,0,20,<=50K
42,Private,76280,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,<=50K
34,Private,248795,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,45,<=50K
33,Self-emp-not-inc,93930,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
48,Private,188432,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,46,>50K
25,Private,198163,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,<=50K
35,Private,40135,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,<=50K
17,?,89870,10th,6,Never-married,?,Own-child,White,Male,0,0,40,<=50K
60,Self-emp-not-inc,282660,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
76,?,431192,7th-8th,4,Widowed,?,Not-in-family,White,Male,0,0,2,<=50K
41,Private,66118,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,<=50K
43,Local-gov,216070,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,0,0,50,>50K
38,State-gov,110426,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,>50K
26,Private,60722,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,<=50K
32,Private,339482,5th-6th,3,Separated,Farming-fishing,Other-relative,White,Male,0,0,60,<=50K
43,Local-gov,33331,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
19,Private,195805,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,12,<=50K
34,Private,200192,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,<=50K
22,Private,137591,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,<=50K
42,Local-gov,176716,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
44,Private,129100,11th,7,Separated,Other-service,Unmarried,Black,Female,0,0,60,<=50K
39,Private,101146,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,<=50K
60,State-gov,194252,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,3103,0,40,>50K
50,Self-emp-not-inc,225772,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,60,>50K
43,Self-emp-inc,34218,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
43,Local-gov,301638,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1579,40,<=50K
43,Private,131435,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,0,0,40,<=50K
43,Federal-gov,77370,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
59,Private,374924,HS-grad,9,Separated,Sales,Unmarried,Black,Female,0,0,40,<=50K
25,Private,188767,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,<=50K
36,Private,136343,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
25,Private,104746,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,16,<=50K
59,Private,135647,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,<=50K
36,Private,146311,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
50,Self-emp-not-inc,219420,Doctorate,16,Divorced,Sales,Not-in-family,White,Male,0,0,64,<=50K
37,Private,289886,Some-college,10,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,30,<=50K
18,Private,163787,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15,<=50K
52,Private,167794,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,>50K
29,Private,119052,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Female,0,0,40,<=50K
51,Local-gov,186416,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
36,?,389850,HS-grad,9,Married-spouse-absent,?,Unmarried,Black,Male,0,0,50,<=50K
28,Local-gov,125159,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,40,<=50K
46,Local-gov,324561,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,>50K
43,Private,177905,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3908,0,40,<=50K
54,Private,96710,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,0,0,20,<=50K
18,Private,335065,7th-8th,4,Never-married,Sales,Own-child,White,Male,0,0,30,<=50K
24,Private,308205,7th-8th,4,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,<=50K
46,Private,504725,5th-6th,3,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,50,<=50K
35,Private,113322,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,<=50K
30,Private,169589,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
51,Private,244572,HS-grad,9,Separated,Other-service,Not-in-family,Black,Female,0,0,37,<=50K
27,Private,278720,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,>50K
41,Private,204046,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
34,Private,58305,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1573,40,<=50K
40,Private,209547,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,60,>50K
